probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0,8,100,0,0,360.12293492614947,0,0,0,0,12,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,140,8,-99,2,1
0.054,8,0,0,0,359.54661877862446,0,0,0,0.5740740740740752,130,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,10,100,0,0,360.06858435388006,0,0,0,0,130,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,124,10,-99,2,1
0.054,10,0,0,0,359.49035839215327,0,0,0,0.5694444444444455,131,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,10,-99,2,1
0,8,100,0,0,360.19533750890884,0,0,0,0,131,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,123,8,-99,2,1
0.054,10,0,0,0,359.5659481280442,0,0,0,0.4953703703703712,132,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,10,-99,2,1
0,8,100,0,0,360.0200041933616,0,0,0,0,132,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,107,8,-99,2,1
0.054,9,0,0,0,359.77509243416335,0,0,0,0.4861111111111119,133,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,9,100,0,0,360.0753695974864,0,0,0,0,133,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,105,9,-99,2,1
0,10,0,0,0,360.05400029845,0,0,0,0,134,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,129,10,-99,2,1
0.054,8,100,0,0,359.44969898494355,0,0,0,0.5972222222222234,134,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0.054,8,0,0,0,359.36719525545993,0,0,0,0.6388888888888903,135,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,10,100,0,0,360.0190095465254,0,0,0,0,135,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,138,10,-99,2,1
0,6,0,0,0,360.15160724923857,0,0,0,0,136,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,109,6,-99,2,1
0.054,12,100,0,0,359.5090161719693,0,0,0,0.5046296296296304,136,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,12,-99,2,1
0.054,10,0,0,0,359.47890527151645,0,0,0,0.6574074074074089,137,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,10,-99,2,1
0,8,100,0,0,360.14558868578604,0,0,0,0,137,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,142,8,-99,2,1
0.054,13,0,0,0,359.5103329846384,0,0,0,0.5694444444444455,138,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,13,-99,2,1
0,5,100,0,0,360.07192431705533,0,0,0,0,138,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,123,5,-99,2,1
0.054,9,0,0,0,359.69906773357303,0,0,0,0.5462962962962973,139,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,9,100,0,0,360.00647311452303,0,0,0,0,139,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,118,9,-99,2,1
0.054,9,0,0,0,359.367892628623,0,0,0,0.6435185185185199,13,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,9,100,0,0,360.0583086621192,0,0,0,0,13,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,139,9,-99,2,1
0,10,0,0,0,360.15607067221816,0,0,0,0,140,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,129,10,-99,2,1
0.054,8,100,0,0,359.77041545899147,0,0,0,0.5972222222222234,140,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,13,0,0,0,360.26551357866043,0,0,0,0,141,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,132,13,-99,2,1
0.054,5,100,0,0,359.46685249243507,0,0,0,0.6111111111111124,141,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,5,-99,2,1
0,14,0,0,0,360.05604435282476,0,0,0,0,142,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,136,14,-99,2,1
0.054,4,100,0,0,359.51533019286916,0,0,0,0.629629629629631,142,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,4,-99,2,1
0,7,0,0,0,360.16463606699705,0,0,0,0,143,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,108,7,-99,2,1
0.054,11,100,0,0,359.51969979008396,0,0,0,0.5000000000000008,143,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
0.054,4,0,0,0,359.51563396623453,0,0,0,0.5694444444444455,144,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,4,-99,2,1
0,14,100,0,0,360.218720526505,0,0,0,0,144,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,123,14,-99,2,1
0.054,11,0,0,0,359.5069080758705,0,0,0,0.5092592592592601,145,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
0,7,100,0,0,360.0023333247341,0,0,0,0,145,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,110,7,-99,2,1
0.054,8,0,0,0,359.44017119306034,0,0,0,0.6018518518518531,146,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,10,100,0,0,360.1001840259896,0,0,0,0,146,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,130,10,-99,2,1
0,7,0,0,0,360.02342840973773,0,0,0,0,147,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,106,7,-99,2,1
0.054,11,100,0,0,359.655984428306,0,0,0,0.49074074074074153,147,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
0,8,0,0,0,360.03164674453717,0,0,0,0,148,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,126,8,-99,2,1
0.054,10,100,0,0,359.50283965057884,0,0,0,0.5833333333333345,148,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,10,-99,2,1
0.054,8,0,0,0,359.59599259261864,0,0,0,0.5555555555555566,149,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,10,100,0,0,360.0380903706051,0,0,0,0,149,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,120,10,-99,2,1
0.054,12,0,0,0,359.5121906208153,0,0,0,0.5787037037037048,14,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,12,-99,2,1
0,6,100,0,0,360.00053650230075,0,0,0,0,14,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,125,6,-99,2,1
0.054,9,0,0,0,359.431748707926,0,0,0,0.5694444444444455,150,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,9,100,0,0,360.03866553442776,0,0,0,0,150,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,123,9,-99,2,1
0,12,0,0,0,360.04034156789646,0,0,0,0,151,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,104,12,-99,2,1
0.054,6,100,0,0,359.5506060035117,0,0,0,0.48148148148148223,151,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,6,-99,2,1
0,10,0,0,0,360.0790087455581,0,0,0,0,152,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,124,10,-99,2,1
0.054,8,100,0,0,359.50975186407453,0,0,0,0.5740740740740752,152,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,12,0,0,0,360.19978509848295,0,0,0,0,153,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,103,12,-99,2,1
0.054,6,100,0,0,359.6221861566485,0,0,0,0.4768518518518526,153,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,6,-99,2,1
0.054,12,0,0,0,359.5334557840453,0,0,0,0.5833333333333345,154,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,12,-99,2,1
0,6,100,0,0,360.0433547712337,0,0,0,0,154,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,126,6,-99,2,1
0,10,0,0,0,360.10276286031547,0,0,0,0,155,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,138,10,-99,2,1
0.054,8,100,0,0,359.41601294250023,0,0,0,0.6388888888888903,155,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0.054,9,0,0,0,359.55755871924947,0,0,0,0.5694444444444455,156,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,9,100,0,0,360.06325888293594,0,0,0,0,156,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,123,9,-99,2,1
0,8,0,0,0,360.14129589892775,0,0,0,0,157,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,103,8,-99,2,1
0.054,10,100,0,0,359.55112780903863,0,0,0,0.4768518518518526,157,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,10,-99,2,1
0.054,9,0,0,0,359.6451653538608,0,0,0,0.49074074074074153,158,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,9,100,0,0,360.00607534004973,0,0,0,0,158,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,106,9,-99,2,1
0,10,0,0,0,360.1304339660379,0,0,0,0,159,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,115,10,-99,2,1
0.054,8,100,0,0,359.52026217974736,0,0,0,0.5324074074074083,159,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0.054,8,0,0,0,359.44377623847953,0,0,0,0.5694444444444455,15,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,10,100,0,0,360.01879864835263,0,0,0,0,15,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,123,10,-99,2,1
0.054,6,0,0,0,359.7276797242315,0,0,0,0.4305555555555561,160,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,6,-99,2,1
0,12,100,0,0,360.16356353930513,0,0,0,0,160,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,93,12,-99,2,1
0,9,0,0,0,360.2009333333745,0,0,0,0,161,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,105,9,-99,2,1
0.054,9,100,0,0,359.6064990416937,0,0,0,0.4861111111111119,161,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,8,0,0,0,360.13552186455155,0,0,0,0,162,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,133,8,-99,2,1
