probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,8,100,100,73.12943939150779,236.72260870378295,48.46345777441811,13,1.3,0.3935185185185189,105,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,62,12,5,4,3
0.054,8,0,0,72.30613987895782,224.83428663574708,61.180914801743725,13,1.3,0.4534875870637691,106,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,49,13,5,4,3
0.054,8,0,100,74.25153150147912,205.30975042651167,79.05132635257027,11,1.1,0.3842592592592596,106,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,58,13,5,4,3
0,9,100,0,72.15977700606125,190.94264141845224,97.34050037596548,0,0,0,106,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,97,16,5,4,3
0.054,11,100,100,70.11624854448029,237.72627087859135,49.38906457304767,23,2.3000000000000007,0.496221139741082,106,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,51,13,5,4,3
0.054,8,0,0,67.05965047444924,246.9198599881972,44.13185300389657,14,1.4,0.608046736651039,107,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,61,12,5,4,3
0,5,0,100,73.58820802925486,194.79045839768577,91.76592693893586,0,0,0,107,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,96,7,5,4,3
0.054,6,100,0,69.11842066926573,252.7487688345119,36.66563151343957,11,1.1,0.47644300113625704,107,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,51,10,5,4,3
0.054,17,100,100,73.9394154102995,242.062722931999,42.55563708043826,11,1.1,0.3564814814814817,107,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,61,23,5,4,3
0.054,7,0,0,71.91659388823908,255.55154695908232,30.789277330074817,14,1.4,0.46301941346675873,108,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,49,14,5,4,3
0.054,11,0,100,70.45647749401697,229.58822732295872,58.453669931455366,12,1.2,0.3611111111111113,108,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,51,20,5,4,3
0.054,10,100,0,68.26632489983596,222.95746090886348,67.39212595706162,10,1,0.4202294102856507,108,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,65,18,5,4,3
0,8,100,100,69.0094640397333,230.12674658784763,60.95232996896364,0,0,0,108,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,81,16,5,4,3
0.054,13,0,0,69.96390569240178,201.719190307916,87.3986960597537,7,0.7,0.3194444444444445,109,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,81,20,5,4,3
0,7,0,100,70.64617563837118,203.4973644613173,86.05317097093139,0,0,0,109,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,79,18,5,4,3
0.054,4,100,0,69.94501909573843,220.3171219649477,67.21485738137206,21,2.1000000000000005,0.4245300222677551,109,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,74,15,5,4,3
0.054,12,100,100,70.6487441664249,268.782438476134,18.427345912623213,15,1.5000000000000002,0.7329104530791742,109,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,44,17,5,4,3
0.054,16,0,0,71.9844625453431,238.1294339787856,48.65732054348865,8,0.7999999999999999,0.4291596518973847,10,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,61,22,5,4,3
0.054,4,0,100,73.51169272369656,224.56707731509243,60.96439080612673,8,0.7999999999999999,0.3935185185185189,10,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,58,9,5,4,3
0,6,100,0,72.65873652406344,232.50267868657116,54.96180995837576,0,0,0,10,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,78,13,5,4,3
0.054,10,100,100,73.49815858002118,247.57206274297909,36.80914016146745,17,1.7000000000000004,0.4611017580854019,10,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,60,15,5,4,3
0,7,0,0,73.30877846734104,231.67262728838477,55.09994771582914,0,0,0,110,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,76,11,5,4,3
0.054,9,0,100,72.73287582992405,244.05782898811916,41.51123659741256,13,1.3,0.39899891751885946,110,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,50,11,5,4,3
0.054,14,100,0,72.97861203497158,228.89276976027227,56.951220946584975,8,0.7999999999999999,0.3820690367341726,110,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,57,15,5,4,3
0.054,6,100,100,67.67562664240458,247.9136000534116,42.842481492995475,12,1.2,0.42981768719243535,110,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,45,9,5,4,3
0.054,6,0,0,72.64445947820364,224.8285791005053,61.01536742320252,12,1.2,0.4177101701130381,111,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,63,8,5,4,3
0.054,11,0,100,66.9025807229951,255.1047534487037,36.80707976689993,9,0.8999999999999999,0.4398148148148154,111,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,55,14,5,4,3
0.054,12,100,0,74.81907030483303,228.64344743956568,54.90775654124602,13,1.3,0.4028342282815733,111,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,53,14,5,4,3
0,7,100,100,70.62130097957436,234.4540637756901,54.93671605178965,0,0,0,111,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,71,14,5,4,3
0.054,7,0,0,69.260903469091,236.09149271540616,52.742239120310856,15,1.5000000000000002,0.4622250945998429,112,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,46,11,5,4,3
0.054,15,0,100,70.65132308729792,257.35957799816197,30.409868334566603,12,1.2,0.3935185185185189,112,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,49,17,5,4,3
0.054,7,100,0,67.50799531155653,210.9987315815657,79.68068884415291,14,1.4,0.43192807664945254,112,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,62,15,5,4,3
0,7,100,100,72.55080317312671,204.59956715112023,82.97174806838485,0,0,0,112,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,88,11,5,4,3
0,8,0,0,70.35058666934765,216.24347910210724,73.55414543853377,0,0,0,113,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,71,15,5,4,3
0.054,9,0,100,67.24819977500032,223.8952641000421,67.25224483453184,12,1.2,0.426504128152907,113,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,56,14,5,4,3
0.054,8,100,0,71.99247769664527,222.06354609563235,63.75178776028619,18,1.8000000000000005,0.42055842793317616,113,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,57,14,5,4,3
0.054,10,100,100,64.50055861039952,232.90034896113065,60.98851526982847,14,1.4,0.41368212527466414,113,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,44,19,5,4,3
0.054,12,0,0,69.99111155724698,234.73147728216057,53.677564358706846,13,1.3,0.4908536417483316,114,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,53,18,5,4,3
0,7,0,100,70.22563897017115,216.9018899637272,72.92016138980034,0,0,0,114,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,79,13,5,4,3
0.054,5,100,0,72.90232387356934,242.1712126626918,43.112187433415755,16,1.6000000000000003,0.365740740740741,114,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,52,12,5,4,3
0.054,12,100,100,72.66271936363978,225.4010822084546,60.73358350553947,9,0.8999999999999999,0.3959579256230613,114,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,53,18,5,4,3
0.054,12,0,0,69.43713907103503,224.75885841264483,64.14443468244231,12,1.2,0.5074545048854932,115,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,55,19,5,4,3
0.054,6,0,100,67.53842207633049,248.26011347205443,42.71165805401592,14,1.4,0.4626903958192334,115,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,59,12,5,4,3
0,7,100,0,73.97818012914772,225.12290429960393,61.19255709570934,0,0,0,115,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,81,15,5,4,3
0.054,11,100,100,71.25062556079597,238.7616833680948,48.964478432284274,10,1,0.3333333333333334,115,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,53,13,5,4,3
0.054,13,0,0,67.6111949849205,265.98114980102145,24.647958229016872,13,1.3,0.4842499062335499,116,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,68,16,5,4,3
0.054,13,0,100,72.42641529365876,243.3380228111978,42.52771465601223,13,1.3,0.438418911156644,116,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,51,16,5,4,3
0,3,100,0,68.90362815295386,205.80284026076063,85.40589785674102,0,0,0,116,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,73,10,5,4,3
0.054,7,100,100,71.77081736066211,213.79350089651973,73.10339652490114,11,1.1,0.3472222222222224,116,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,62,12,5,4,3
0.054,8,0,0,68.64887927405549,244.89547300217168,44.43357245435098,16,1.6000000000000003,0.4322006437931828,117,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,41,11,5,4,3
