probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,num_males,num_mar
0.054,5,0,0,71.206442998526,232.05245237272314,54.5627689464486,14,1.4000000000000001,0.8038071540287962,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,8,0,100,71.0617089116198,244.37188791185136,42.7304265859645,13,1.3,0.7001159289727803,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,11,0,200,70.33067816499998,232.32166406243186,55.161438941307594,14,1.4000000000000001,0.8960631131209755,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,7,100,0,71.3331869257318,238.4586353513522,49.26782495154764,5,0.5,0.6780015254672896,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,11,100,100,68.24606620862707,258.87300647839214,30.475395606235107,19,1.9000000000000006,0.5692936413596751,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,15,100,200,67.1938805590599,223.70588699862216,67.67696205198028,9,0.8999999999999999,0.6406658999939285,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,7,200,0,71.541778289414,210.324641673102,76.61131880145132,10,0.9999999999999999,0.5332886532034747,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,11,200,100,69.68051984452619,239.13412708403777,48.66089340194537,19,1.9000000000000006,0.6453259588347596,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0,8,200,200,73.4399789520686,209.65410253387248,76.93783280613174,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,9,300,0,72.97633729090083,247.59255389035025,37.53043942056117,11,1.0999999999999999,0.8347518291615231,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0,10,300,100,69.83565758715945,229.25884810707572,60.9608097502163,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0,6,300,200,72.3171717176804,202.09677665095785,85.6192121096471,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
