probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,num_males,num_mar
0,7,0,500,66.7781111115166,269.2163236714293,24.35403890984892,0,0,0,5,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,5,500,0,70.86786395291094,240.18826191140047,49.02627050879616,0,0,0,5,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,500,500,71.40649942015806,257.69831650254037,31.084593251473382,0,0,0,5,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,12,1000,0,74.17186313818901,220.57727432188884,61.918235949837445,11,1.1,2.315778485193117,5,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,1000,500,69.93524821800962,268.5066190484638,18.242024333980694,11,1.1,2.2311290812696827,5,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,8,1500,0,70.07969153831809,255.3863161669931,30.896452195230783,17,1.7000000000000004,2.112605396263968,5,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,1500,500,70.68050914944419,234.6659121274788,54.86033249074243,0,0,0,5,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,0,0,71.5062364362334,221.4211356471122,67.22751281881982,0,0,0,6,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,0,500,71.47144929473836,246.31517413102983,42.41769737725715,0,0,0,6,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,500,0,70.1603746123904,267.47985872365666,18.430810391518328,18,1.8000000000000005,2.2438553885957133,6,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,6,500,500,70.29186228092003,247.0295665735558,42.874433427344805,0,0,0,6,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,1000,0,73.71217845696675,222.17432361656725,60.81292070062852,12,1.2,2.1294554439805853,6,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,8,1000,500,73.10984226034326,264.96152689859923,18.352345723443175,12,1.2,2.496992076043725,6,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,18,1500,0,70.59205258395261,262.6851763745482,24.11520563558085,13,1.3,1.8647303052338893,6,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,1500,500,70.01443816889633,229.0874934925765,61.22783697963864,0,0,0,6,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,6,0,0,73.32461249762724,212.942634713328,73.8839925551146,0,0,0,7,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,0,500,72.56131096906716,223.98466135727176,60.280575079258334,12,1.2,2.0052642823604048,7,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,5,500,0,70.56831283234915,271.06431678681184,18.445013193425595,0,0,0,7,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,500,500,68.58104182261205,282.0014606082785,6.004146020886131,14,1.4,2.13605783652413,7,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,1000,0,71.47360180721527,245.6964565477354,42.8804695854135,0,0,0,7,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,13,1000,500,70.64804371136509,271.3108544030448,18.33452334625111,0,0,0,7,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,1500,0,70.49648359299961,243.47621581793737,42.82254070565521,13,1.3,1.9589679860641085,7,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,1500,500,71.89252185848,250.584296445883,34.57616427484109,11,1.1,1.8989596724704416,7,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,13,0,0,66.84346746203073,262.54522302411317,30.65008303207609,0,0,0,8,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,6,0,500,69.30856928050453,260.20254144008584,30.496993945550702,0,0,0,8,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,8,500,0,70.32376498764006,249.83054039952265,36.68577178881234,14,1.4,1.8009025433616503,8,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,500,500,75.59700359965858,238.78468902234616,42.68334130893079,10,1,1.9467489109483584,8,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,8,1000,0,69.34434872264944,250.33391467175332,36.811678259059754,13,1.3,2.2693300428408145,8,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,1000,500,73.13597953545522,246.8980828699047,36.59950023863448,11,1.1,2.351652940667297,8,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,10,1500,0,69.85062457793683,256.6570033841346,33.790128431850754,0,0,0,8,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,10,1500,500,70.15285841219868,247.14840376856617,42.813944924574,0,0,0,8,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,5,0,0,72.59381704985763,266.44374888659405,18.11299714093524,11,1.1,1.941284374432159,9,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,0,500,73.69178617185419,225.34783568964977,61.02863121906978,0,0,0,9,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,500,0,67.1846700928393,247.95517399569871,42.651313683571345,6,0.6,1.7235149102480485,9,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,500,500,68.1522714838124,269.7902804903566,18.26821631608297,16,1.6000000000000003,2.344391169857465,9,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,13,1000,0,71.50136801334257,258.20734784463576,30.607763388652113,0,0,0,9,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,6,1000,500,71.31535749361022,248.8428442238856,36.39756031669366,12,1.2,2.3212430217093165,9,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,16,1500,0,69.78918606964285,253.5763082612026,36.64746404946424,0,0,0,9,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,1500,500,70.28692750402337,259.22780626231605,30.69199489982225,0,0,0,9,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,0,0,69.30734929592472,232.76141792604864,55.07900158816466,8,0.7999999999999999,2.080173263321049,100,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,8,0,500,75.27048466780573,220.4302832015169,61.23639501130326,12,1.2,2.016345501448809,100,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,1,500,0,71.66500301825728,282.1996649762062,6.2037142143249095,0,0,0,100,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,500,500,70.85563063871234,261.9315434599135,24.316990960253825,9,0.8999999999999999,2.0667655381356913,100,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,16,1000,0,71.64092206925079,270.0568992776217,18.36979026802165,0,0,0,100,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,10,1000,500,68.10983155032838,253.70441529703584,38.29488274866268,0,0,0,100,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,11,1500,0,68.61595193910264,262.57349899770315,24.323488736233273,18,1.8000000000000005,2.6988751628895224,100,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1500,500,71.41346927865807,233.44709154880027,55.29977371789696,0,0,0,100,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,0,0,72.36754314574003,277.5506667611737,6.163692214855482,19,1.9000000000000008,2.101828469287577,101,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,0,500,74.1946005655128,215.24990346618068,70.61628934512675,0,0,0,101,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,500,0,70.97998455532002,220.66094007981468,68.41226402880599,0,0,0,101,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,500,500,69.97648407119662,262.0692409125088,24.955503961028448,13,1.3,1.890864337745277,101,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,6,1000,0,75.40108196422494,250.00993478387235,30.864113851838702,15,1.5000000000000002,2.4123426721202894,101,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,1000,500,72.62898015506883,220.00042692216945,67.40619870041897,0,0,0,101,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,5,1500,0,70.49469756429195,259.4991157265613,30.491875816950746,0,0,0,101,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,14,1500,500,68.69650726326944,251.8456784647766,36.58617281026432,9,0.8999999999999999,2.1033214114691967,101,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
