probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,16,100,0,98.71453031420798,259.77746858427906,0,12,1.2,0.365740740740741,112,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,18,7.5,2,1
0.054,11,0,0,94.16401362144948,264.07735196961846,0,14,1.4,0.4305555555555561,113,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,15,7.5,2,1
0,7,100,0,98.12129608425958,176.40464505336325,85.65256805761878,0,0,0,113,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,93,12,7.5,2,1
0,5,0,0,98.7201849089787,163.77761912835166,97.62185660137456,0,0,0,114,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,78,11,7.5,2,1
0.054,13,100,0,96.21204699465356,262.103823517675,0,16,1.6000000000000003,0.3611111111111113,114,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,14,7.5,2,1
0.054,12,0,0,96.92079850194696,261.54437148722144,0,13,1.3,0.3194444444444445,115,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,15,7.5,2,1
0,6,100,0,92.42163328525474,188.42838291844583,79.35092828144393,0,0,0,115,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,69,11,7.5,2,1
0,10,0,0,101.42304234229532,145.7958490565936,113.02548356889676,0,0,0,116,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,81,15,7.5,2,1
0.054,8,100,0,93.96442138188893,263.8834454136515,0,19,1.9000000000000008,0.3750000000000003,116,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,10,7.5,2,1
0.054,12,0,0,93.49508812151204,264.24186198453884,0,20,2.0000000000000004,0.4675925925925933,117,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,16,7.5,2,1
0,6,100,0,96.07327500046054,141.92462005067827,122.11653255819483,0,0,0,117,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,101,13,7.5,2,1
0.054,13,0,0,92.47807713877688,265.3552381674564,0,17,1.7000000000000004,0.48148148148148223,118,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,18,7.5,2,1
0,4,100,0,93.40750583457226,163.68817174718978,102.97501328205333,0,0,0,118,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,104,9,7.5,2,1
0.054,14,0,0,96.6034686451293,261.985529212307,0,13,1.3,0.4398148148148154,119,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,17,7.5,2,1
0,4,100,0,95.70155187017136,185.53436356536324,78.84832759332598,0,0,0,119,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,95,16,7.5,2,1
0.054,10,0,0,93.33755401438464,264.91636909837996,0,16,1.6000000000000003,0.3935185185185189,11,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,14,7.5,2,1
0,7,100,0,102.10328421010492,162.3878285928905,95.51647977028018,0,0,0,11,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,85,18,7.5,2,1
0,7,0,0,91.49365380700138,182.138850218245,86.40778952007594,0,0,0,120,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,93,13,7.5,2,1
0.054,11,100,0,94.61641287653276,263.84256521553687,0,14,1.4,0.4305555555555561,120,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,14,7.5,2,1
0.054,10,0,0,94.54853708419822,263.6049372645467,0,15,1.5000000000000002,0.3750000000000003,121,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,17,7.5,2,1
0,7,100,0,97.32586888126376,174.78455533984464,87.93370330656892,0,0,0,121,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,81,18,7.5,2,1
0.054,12,0,0,97.58992248274704,260.75722633812563,0,15,1.5000000000000002,0.37962962962962993,122,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,19,7.5,2,1
0,6,100,0,99.98691494286392,172.32010537876874,87.75453259254216,0,0,0,122,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,82,13,7.5,2,1
0.054,13,0,0,97.44848367219332,260.66539209080463,0,16,1.6000000000000003,0.4120370370370375,123,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,18,7.5,2,1
0,5,100,0,99.80042169481165,165.9980575706301,94.20775302131928,0,0,0,123,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,89,12,7.5,2,1
0.054,16,0,0,98.98950396449844,258.9960116884479,0,17,1.7000000000000004,0.3981481481481486,124,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,18,7.5,2,1
0,2,100,0,97.25568770741624,158.98210855206742,103.8686551496281,0,0,0,124,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,86,7,7.5,2,1
0,6,0,0,98.0290189153175,169.87710241121317,92.14888421759578,0,0,0,125,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,93,14,7.5,2,1
0.054,12,100,0,94.76939693032682,263.4336167485252,0,15,1.5000000000000002,0.4305555555555561,125,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,17,7.5,2,1
0,3,0,0,94.15780603879608,156.2978639994057,109.58896266539593,0,0,0,126,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,101,13,7.5,2,1
0.054,15,100,0,92.84114902779424,264.885925826739,0,19,1.9000000000000008,0.4675925925925933,126,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,19,7.5,2,1
0,4,0,0,101.40313358475764,153.83239286237952,104.79272951617332,0,0,0,127,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,99,12,7.5,2,1
0.054,14,100,0,95.60806805477716,262.36035485533057,0,18,1.8000000000000005,0.458333333333334,127,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,17,7.5,2,1
0.054,10,0,0,97.39097046861237,260.8870209378778,0,14,1.4,0.4259259259259264,128,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,13,7.5,2,1
0,8,100,0,93.97872363959756,180.41971234297236,85.60260473223485,0,0,0,128,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,92,14,7.5,2,1
0,6,0,0,98.06715539404964,180.6344734909935,81.31502361859953,0,0,0,129,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,95,14,7.5,2,1
0.054,12,100,0,96.55565034377156,261.6468728535167,0,14,1.4,0.4398148148148154,129,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,16,7.5,2,1
0,8,0,0,91.00111946038308,180.96363008702568,88.23410318605015,0,0,0,12,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,78,17,7.5,2,1
0.054,10,100,0,101.18777801008385,257.1629880678724,0,15,1.5000000000000002,0.3611111111111113,12,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,15,7.5,2,1
0,6,0,0,93.6131055025219,151.0263532059483,115.5703645619899,0,0,0,130,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,96,11,7.5,2,1
